X, Y
30, 8
30, 9
29, 9
28, 9
27, 9
26, 9
25, 9
25, 8
25, 7
25, 6
25, 5
26, 5
27, 5
28, 5
29, 5
30, 5
31, 5
32, 5
33, 5
34, 5
35, 5
36, 5
37, 5
38, 5
39, 5
40, 5
41, 5
42, 5
43, 5
44, 5
45, 5
46, 5
47, 5
47, 6
47, 7
47, 8
47, 9
47, 10
47, 11
47, 12
47, 13
47, 14
47, 15
47, 16
47, 17
48, 17
49, 17
50, 17
